Type,Category,Original_Name,Short_Name
Company,Pesticide_Company,Syngenta,Syngenta
Company,Pesticide_Company,Bayer CropScience,Bayer
Company,Pesticide_Company,CORTEVA,CORTEVA
Company,Pesticide_Company,Nufarm,Nufarm
Company,Pesticide_Company,FMC,FMC
Company,Pesticide_Company,BASF,BASF
Company,Pesticide_Company,"ADIL MAKMUR FAJAR, PT",ADIL MAKMUR
Company,Pesticide_Company,"ADVANSIA INDOTANI, PT",ADVANSIA 
Company,Pesticide_Company,"AGRICON (AGRICULTURE CONSTRUCTION, PT)",AGRICON
Company,Pesticide_Company,"AGRO JAYA INDUSTRI, PT",AGRO JAYA 
Company,Pesticide_Company,"AGRO NATURAL TECHNOLOGY, PT",AGRO NATURAL 
Company,Pesticide_Company,"AGRO SEJAHTERA INDONESIA, PT",AGRO SEJAHTERA 
Company,Pesticide_Company,"AGROMANNA JAYA LESTARI, PT",AGROMANNA 
Company,Pesticide_Company,"AGX ASIA INDONESIA, PT",AGX ASIA
Company,Pesticide_Company,"ARTHA MAKMUR ABADI, PT",ARTHA MAKMUR
Company,Pesticide_Company,"ARYSTA LIFESCIENCE TIRTA, PT",ARYSTA 
Company,Pesticide_Company,"ASIANA CHEMICALINDO LESTARI, PT",ASIANA 
Company,Pesticide_Company,"BEHN MEYER AGRICARE, PT",BEHN MEYER 
Company,Pesticide_Company,"BELIRANG KALISARI, PT",BELIRANG 
Company,Pesticide_Company,"BENIH BERKAH BERSERI, PT",BENIH BERKAH 
Company,Pesticide_Company,"BIO AGRITECH NUSANTARA, PT",BIO AGRITECH 
Company,Pesticide_Company,"BIOTIS AGRINDO, PT",BIOTIS 
Company,Pesticide_Company,"DA MING INDONESIA, PT",DA MING
Company,Pesticide_Company,"DANKEN INDONESIA, PT",DANKEN 
Company,Pesticide_Company,"DELTA GIRI WACANA (DGW), PT",DELTA GIRI 
Company,Pesticide_Company,"DELTAGRO MULIA SEJATI, PT",DELTAGRO 
Company,Pesticide_Company,"ETONG CHEMICAL INDONESIA, PT",ETONG CHEMICAL 
Company,Pesticide_Company,"EXCEL MEG INDO, PT",EXCEL MEG 
Company,Pesticide_Company,Exindo Rahardja Pratama,Exindo 
Company,Pesticide_Company,"FADJARPURNAMA PRATAMA INTI, PT",FADJARPURNAMA
Company,Pesticide_Company,"FAJAR NASIONAL CIPTA, PT",FAJAR NASIONAL
Company,Pesticide_Company,"FORAGRO MITRA SEJATI, PT",FORAGRO 
Company,Pesticide_Company,"GLOBAL AGROTECH, PT",GLOBAL AGROTECH
Company,Pesticide_Company,"HARINA CHEMICALS INDUSTRY, PT",HARINA 
Company,Pesticide_Company,"INDAGRO, PT",INDAGRO
Company,Pesticide_Company,"INDOIN BUSINESS GROUP, PT",INDOIN 
Company,Pesticide_Company,"INDO-SINO AGROCHEMICAL, PT",INDO-SINO 
Company,Pesticide_Company,"KENSO INDONESIA, PT",KENSO
Company,Pesticide_Company,"Kristalindo Karunia Internasional, PT",Kristalindo 
Company,Pesticide_Company,"MAJU MAKMUR UTOMO, PT",MAJU MAKMUR 
Company,Pesticide_Company,"MAXXI AGRI INDONESIA, PT",MAXXI AGRI
Company,Pesticide_Company,"MULTI SARANA INDOTANI, PT",MULTI SARANA
Company,Pesticide_Company,"NATHANI CHEMICALS, PT",NATHANI 
Company,Pesticide_Company,"NUSA MANDIRI UTAMA, PT",NUSA MANDIRI
Company,Pesticide_Company,"PERUSAHAAN PERDAGANGAN INDONESIA, PT",PERUSAHAAN PERDAGANGAN
